功能域,功能项,建议状态,底板实现边界,模块/外部系统边界,关键引脚或接口,权限/能力状态,关键约束,可选实现形态,是否纳入,优先级,备注
电源,主电源输入与3.3V模块供电,必选,底板将USB-C/DC端子两路输入防反灌汇入5V_SYS，再由LDO/低噪声后级生成AsteRx 3.3V Vin,模块只接受3.3V +/-5%，不负责宽压输入转换,30-pin Pin1/2 Vin; 所有GND,硬件必需,3.3V +/-5%; 峰值供电能力至少1A; Vin 1/2并联; GND全接,USB-C VBUS->5V_SYS; DC端子12V标称/24V容错->宽压DCDC->5V_SYS; 5V_SYS->LDO->3.3V,纳入 两路供电输入互相防反灌,P0,DC输入24V误插容错通过宽压DCDC实现，不能单靠TVS；不实现PoE供电
电源,外围电源树,必选,底板给PHY、RS232、RS485、Event逻辑、USB/SD、LED/buffer等外围器件分电源域供电并预算电流,模块不为外围系统提供通用大电流电源,3V3_PHY; VCC_RS232; VCC_RS485; VCC_EVENT; VCC_SD; 5V_SYS等,取决于外围功能,避免外围电路通过信号脚反灌模块; RS232/RS485等IO使用不同电源芯片或独立负载开关分割电源域,各电源域独立LDO/负载开关; 必要时隔离电源,纳入 分割电源域,P0,外围电源需配合IO_EN控制输出
电源,天线供电VANT,推荐必选,底板给30-pin VANT提供3-5.5V天线偏置源，并实现选择、滤波、限流/保护和测试点,模块把VANT送到MAIN/AUX1天线端；实际天线和线缆由外部系统负责,30-pin Pin18 VANT; MAIN/AUX1 RF连接器在模块上,双天线允许; L-band允许,3-5.5V; 每路150mA; 同一VANT供两路; 不接VANT则天线无DC,跳线选择3.3/5V; ,编码开关选择3.3/5,P0,若用有源天线，基本必须实现
电源,复位控制,必选,底板引出nRST并提供按键、测试点或外部控制接口,模块低电平复位,30-pin Pin8 nRST,硬件支持,低有效; 内部上拉,按键+测试点;,引出，连接到按键板,P0,调试阶段非常有用
上电/保护,IO_EN驱动隔离,必选,底板用IO_EN控制所有会驱动模块输入的buffer/收发器/OE，避免未上电或standby反灌,模块通过IO_EN表示输入可被外部驱动,60-pin Pin59 IO_EN,硬件支持,IO_EN上电/唤醒后不晚于300ms变高; standby为低,全局OE,纳入,P0,这是实现边界中的强制安全项
时频,PPS1输出引出,推荐必选,底板将PPS1引出到外部连接器，并可加缓冲、保护、测试点,模块产生PPS1，软件配置极性/频率/脉宽,30-pin Pin12 PPS1,xPPS能力; datarate=100,LVTTL; 50ohm输出阻抗; 24mA; 默认5ms; 上电初期电平未定义,SMA,纳入,P0,定位授时产品通常必须引出
RF/天线,MAIN天线机械引出/开孔,必选,底板和外壳为模块MAIN MMCX连接器留空间，并用MMCX到SMA转接线引到面板,GNSS RF接收在模块上完成,模块MAIN MMCX,主天线必需,RF 50ohm; 有源天线需VANT; 天线净增益15-50dB,MMCX转SMA; 面板SMA,纳入,P0,底板不经过Hirose传输GNSS RF
机械,模块安装与接地,必选,底板提供M3安装孔、金属支柱接地、keepout和底部高度避让,模块机械尺寸固定,4x M3; 30-pin/60-pin Hirose; RF连接器,硬件必需,安装孔接地但不能替代I/O GND; 30-pin keepout至少8.8mm x 2.96mm; 底部高度限制,螺柱固定; 面板同轴; ,纳入,P0,需在PCB封装阶段锁定
EMC/ESD,外部接口ESD保护,必选,底板对USB、RJ45、串口、Event/PPS、SD、天线供电等外部接口加ESD/浪涌保护,模块只有有限ESD保护,所有外部连接器,工程必需,保护器件寄生不能破坏高速/时频信号,TVS; 共模电感; GDT/PTC按接口选择,纳入,P0,室外天线和外部线缆尤其重要
EMC/ESD,GNSS抗干扰布局边界,必选,底板布局避免高速数字/开关电源/排线靠近RF与天线，提供完整地和平面分区,模块可做干扰监测和缓解，但不替代硬件EMC,PCB stackup/layout,im=1; APME=1,GNSS信号极弱; 需通过C/N0和spectrum验证,4层或以上; 数字内层; 屏蔽/地过孔; 时钟避开GNSS谐波,纳入,P0,这是验收边界，不只是布局建议
以太网,10/100M RJ45以太网,推荐,底板实现RMII PHY、带灯内置变压器RJ45、ESD和布局约束，不实现PoE,模块只提供RMII MAC侧接口和网络协议能力,60-pin RMII_TXEN/TXD0/TXD1/RXD0/RXD1/CRS_DV/RXER/CLK/MDIO/MDC,ethernet=1 Permitted,PHY和magnetics必须在底板; RMII短且参考连续地,KSZ8041参考; 兼容PHY; 普通带灯内置变压器RJ45; 可统一选型千兆RJ45但仅按10/100M使用,纳入 不实现PoE,P0/P1,RJ45选型后续统一对话；网口不作为供电输入
